protein	date	y
NSP4	2020-05-07	0.00
E	2020-05-07	0.00
NS7a	2020-05-07	0.00
NSP5	2020-05-07	0.00
NS7b	2020-05-07	0.00
NSP6	2020-05-07	0.00
NSP7	2020-05-07	0.00
NSP8	2020-05-07	0.00
Spike	2020-05-07	2.00
NSP9	2020-05-07	0.00
NSP10	2020-05-07	0.00
NSP11	2020-05-07	0.00
NSP12	2020-05-07	2.00
M	2020-05-07	0.00
NSP13	2020-05-07	0.00
N	2020-05-07	0.00
NSP14	2020-05-07	0.00
NS3	2020-05-07	0.00
NSP15	2020-05-07	0.00
NSP16	2020-05-07	0.00
NS9b	2020-05-07	0.00
NS6	2020-05-07	0.00
NS9c	2020-05-07	0.00
NSP1	2020-05-07	0.00
NSP2	2020-05-07	1.00
NS8	2020-05-07	0.00
NSP3	2020-05-07	0.00
NSP4	2020-06-01	0.00
E	2020-06-01	0.00
NS7a	2020-06-01	0.00
NSP5	2020-06-01	0.00
NS7b	2020-06-01	0.00
NSP6	2020-06-01	0.00
NSP7	2020-06-01	0.00
NSP8	2020-06-01	0.00
Spike	2020-06-01	1.00
NSP9	2020-06-01	0.00
NSP10	2020-06-01	0.00
NSP11	2020-06-01	0.00
NSP12	2020-06-01	1.00
M	2020-06-01	0.00
NSP13	2020-06-01	0.00
N	2020-06-01	0.00
NSP14	2020-06-01	0.50
NS3	2020-06-01	0.50
NSP15	2020-06-01	0.00
NSP16	2020-06-01	0.00
NS9b	2020-06-01	0.00
NS6	2020-06-01	0.00
NS9c	2020-06-01	0.00
NSP1	2020-06-01	0.50
NSP2	2020-06-01	0.00
NS8	2020-06-01	0.00
NSP3	2020-06-01	0.00
NSP4	2020-06-14	0.00
E	2020-06-14	0.00
NS7a	2020-06-14	0.00
NSP5	2020-06-14	0.00
NS7b	2020-06-14	0.00
NSP6	2020-06-14	0.00
NSP7	2020-06-14	0.00
NSP8	2020-06-14	0.00
Spike	2020-06-14	2.00
NSP9	2020-06-14	0.00
NSP10	2020-06-14	0.00
NSP11	2020-06-14	0.00
NSP12	2020-06-14	2.00
M	2020-06-14	0.00
NSP13	2020-06-14	0.00
N	2020-06-14	0.00
NSP14	2020-06-14	0.00
NS3	2020-06-14	0.00
NSP15	2020-06-14	0.00
NSP16	2020-06-14	0.00
NS9b	2020-06-14	0.00
NS6	2020-06-14	0.00
NS9c	2020-06-14	0.00
NSP1	2020-06-14	0.00
NSP2	2020-06-14	1.00
NS8	2020-06-14	0.00
NSP3	2020-06-14	0.00
NSP4	2020-06-17	0.00
E	2020-06-17	0.00
NS7a	2020-06-17	0.00
NSP5	2020-06-17	0.00
NS7b	2020-06-17	0.00
NSP6	2020-06-17	0.00
