protein	date	y
NSP4	2020-09-01	0.00
E	2020-09-01	0.00
NS7a	2020-09-01	0.50
NSP5	2020-09-01	0.00
NS7b	2020-09-01	0.00
NSP6	2020-09-01	0.00
NSP7	2020-09-01	0.00
NSP8	2020-09-01	0.00
Spike	2020-09-01	0.50
NSP9	2020-09-01	0.50
NSP10	2020-09-01	0.00
NSP11	2020-09-01	0.00
NSP12	2020-09-01	1.00
M	2020-09-01	0.00
NSP13	2020-09-01	0.00
N	2020-09-01	0.50
NSP14	2020-09-01	0.00
NS3	2020-09-01	1.00
NSP15	2020-09-01	0.00
NSP16	2020-09-01	0.00
NS9b	2020-09-01	0.00
NS6	2020-09-01	0.00
NS9c	2020-09-01	0.00
NSP1	2020-09-01	0.00
NSP2	2020-09-01	1.00
NS8	2020-09-01	0.50
NSP3	2020-09-01	0.50
NSP4	2020-09-16	0.00
E	2020-09-16	0.00
NS7a	2020-09-16	0.50
NSP5	2020-09-16	0.00
NS7b	2020-09-16	0.00
NSP6	2020-09-16	0.00
NSP7	2020-09-16	0.00
NSP8	2020-09-16	0.00
Spike	2020-09-16	1.00
NSP9	2020-09-16	0.00
NSP10	2020-09-16	0.00
NSP11	2020-09-16	0.00
NSP12	2020-09-16	1.00
M	2020-09-16	0.00
NSP13	2020-09-16	1.00
N	2020-09-16	0.50
NSP14	2020-09-16	0.00
NS3	2020-09-16	1.00
NSP15	2020-09-16	0.00
NSP16	2020-09-16	0.00
NS9b	2020-09-16	0.00
NS6	2020-09-16	0.00
NS9c	2020-09-16	0.00
NSP1	2020-09-16	0.00
NSP2	2020-09-16	0.50
NS8	2020-09-16	0.50
NSP3	2020-09-16	0.00
NSP4	2020-10-01	0.00
E	2020-10-01	0.00
NS7a	2020-10-01	0.50
NSP5	2020-10-01	0.00
NS7b	2020-10-01	0.00
NSP6	2020-10-01	0.00
NSP7	2020-10-01	0.00
NSP8	2020-10-01	0.00
Spike	2020-10-01	0.50
NSP9	2020-10-01	0.00
NSP10	2020-10-01	0.00
NSP11	2020-10-01	0.00
NSP12	2020-10-01	1.00
M	2020-10-01	0.00
NSP13	2020-10-01	0.00
N	2020-10-01	0.50
NSP14	2020-10-01	0.50
NS3	2020-10-01	1.00
NSP15	2020-10-01	0.00
NSP16	2020-10-01	0.00
NS9b	2020-10-01	0.00
NS6	2020-10-01	0.00
NS9c	2020-10-01	0.00
NSP1	2020-10-01	0.00
NSP2	2020-10-01	0.50
NS8	2020-10-01	0.50
NSP3	2020-10-01	0.00
NSP4	2021-04-29	0.00
E	2021-04-29	0.00
NS7a	2021-04-29	0.50
NSP5	2021-04-29	0.00
NS7b	2021-04-29	0.00
NSP6	2021-04-29	0.00
NSP7	2021-04-29	0.00
NSP8	2021-04-29	0.00
Spike	2021-04-29	1.50
NSP9	2021-04-29	0.00
NSP10	2021-04-29	0.00
NSP11	2021-04-29	0.00
NSP12	2021-04-29	2.00
M	2021-04-29	0.00
NSP13	2021-04-29	0.00
N	2021-04-29	1.50
NSP14	2021-04-29	0.00
NS3	2021-04-29	2.00
NSP15	2021-04-29	0.00
NSP16	2021-04-29	0.00
NS9b	2021-04-29	0.00
NS6	2021-04-29	0.00
NS9c	2021-04-29	0.00
NSP1	2021-04-29	0.00
NSP2	2021-04-29	1.00
NS8	2021-04-29	1.50
NSP3	2021-04-29	0.50
NSP4	2021-04-30	2.00
E	2021-04-30	0.00
NS7a	2021-04-30	0.00
NSP5	2021-04-30	0.00
NS7b	2021-04-30	0.00
NSP6	2021-04-30	1.00
NSP7	2021-04-30	0.00
NSP8	2021-04-30	0.00
Spike	2021-04-30	4.50
NSP9	2021-04-30	0.00
NSP10	2021-04-30	0.00
NSP11	2021-04-30	0.00
NSP12	2021-04-30	1.00
M	2021-04-30	0.00
NSP13	2021-04-30	1.00
N	2021-04-30	2.00
NSP14	2021-04-30	0.00
NS3	2021-04-30	2.00
NSP15	2021-04-30	0.00
NSP16	2021-04-30	0.00
NS9b	2021-04-30	0.00
NS6	2021-04-30	0.00
NS9c	2021-04-30	0.00
NSP1	2021-04-30	0.00
NSP2	2021-04-30	0.00
NS8	2021-04-30	0.50
NSP3	2021-04-30	2.00
NSP4	2021-05-01	2.00
E	2021-05-01	0.00
NS7a	2021-05-01	0.00
NSP5	2021-05-01	0.00
NS7b	2021-05-01	0.00
NSP6	2021-05-01	0.00
NSP7	2021-05-01	0.00
NSP8	2021-05-01	0.00
Spike	2021-05-01	4.00
NSP9	2021-05-01	0.00
NSP10	2021-05-01	0.00
NSP11	2021-05-01	0.00
NSP12	2021-05-01	1.00
M	2021-05-01	0.00
NSP13	2021-05-01	1.00
N	2021-05-01	2.00
NSP14	2021-05-01	0.00
NS3	2021-05-01	1.00
NSP15	2021-05-01	0.00
NSP16	2021-05-01	0.00
NS9b	2021-05-01	0.00
NS6	2021-05-01	0.00
NS9c	2021-05-01	0.00
NSP1	2021-05-01	0.00
NSP2	2021-05-01	1.00
NS8	2021-05-01	1.00
NSP3	2021-05-01	2.00
NSP4	2021-05-01	2.00
E	2021-05-01	0.00
NS7a	2021-05-01	0.00
NSP5	2021-05-01	0.00
NS7b	2021-05-01	0.00
NSP6	2021-05-01	1.00
NSP7	2021-05-01	0.00
NSP8	2021-05-01	0.00
Spike	2021-05-01	4.00
NSP9	2021-05-01	0.00
NSP10	2021-05-01	0.00
NSP11	2021-05-01	0.00
NSP12	2021-05-01	1.00
M	2021-05-01	0.00
NSP13	2021-05-01	1.00
N	2021-05-01	2.00
NSP14	2021-05-01	0.00
NS3	2021-05-01	2.00
NSP15	2021-05-01	0.00
NSP16	2021-05-01	0.00
NS9b	2021-05-01	0.00
NS6	2021-05-01	0.00
NS9c	2021-05-01	0.00
NSP1	2021-05-01	0.00
NSP2	2021-05-01	0.00
NS8	2021-05-01	1.00
NSP3	2021-05-01	2.00
