protein	date	y
NSP4	2020-03-01	0.00
E	2020-03-01	0.00
NS7a	2020-03-01	0.00
NSP5	2020-03-01	0.00
NS7b	2020-03-01	0.00
NSP6	2020-03-01	0.00
NSP7	2020-03-01	0.00
NSP8	2020-03-01	0.00
Spike	2020-03-01	0.00
NSP9	2020-03-01	0.00
NSP10	2020-03-01	0.00
NSP11	2020-03-01	0.00
NSP12	2020-03-01	0.00
M	2020-03-01	0.00
NSP13	2020-03-01	0.50
N	2020-03-01	0.00
NSP14	2020-03-01	0.00
NS3	2020-03-01	0.00
NSP15	2020-03-01	0.00
NSP16	2020-03-01	0.00
NS9b	2020-03-01	0.00
NS6	2020-03-01	0.00
NS9c	2020-03-01	0.00
NSP1	2020-03-01	0.00
NSP2	2020-03-01	0.00
NS8	2020-03-01	0.00
NSP3	2020-03-01	0.00
NSP4	2020-03-02	0.00
E	2020-03-02	0.00
NS7a	2020-03-02	0.00
NSP5	2020-03-02	0.00
NS7b	2020-03-02	0.00
NSP6	2020-03-02	0.00
NSP7	2020-03-02	0.00
NSP8	2020-03-02	0.00
Spike	2020-03-02	1.00
NSP9	2020-03-02	0.00
NSP10	2020-03-02	0.00
NSP11	2020-03-02	0.00
NSP12	2020-03-02	1.00
M	2020-03-02	0.00
NSP13	2020-03-02	0.00
N	2020-03-02	0.00
NSP14	2020-03-02	0.00
NS3	2020-03-02	0.00
NSP15	2020-03-02	0.00
NSP16	2020-03-02	0.00
NS9b	2020-03-02	0.00
NS6	2020-03-02	0.00
NS9c	2020-03-02	0.00
NSP1	2020-03-02	0.00
NSP2	2020-03-02	0.00
NS8	2020-03-02	0.00
NSP3	2020-03-02	0.00
NSP4	2020-03-03	0.00
E	2020-03-03	0.00
NS7a	2020-03-03	0.00
NSP5	2020-03-03	0.00
NS7b	2020-03-03	0.00
NSP6	2020-03-03	0.00
NSP7	2020-03-03	0.00
NSP8	2020-03-03	0.00
Spike	2020-03-03	1.00
NSP9	2020-03-03	0.00
NSP10	2020-03-03	0.00
NSP11	2020-03-03	0.00
NSP12	2020-03-03	1.00
M	2020-03-03	1.00
NSP13	2020-03-03	0.00
N	2020-03-03	2.00
NSP14	2020-03-03	0.00
NS3	2020-03-03	0.00
NSP15	2020-03-03	0.00
NSP16	2020-03-03	0.00
NS9b	2020-03-03	0.00
NS6	2020-03-03	0.00
NS9c	2020-03-03	0.00
NSP1	2020-03-03	0.00
NSP2	2020-03-03	0.00
NS8	2020-03-03	0.00
NSP3	2020-03-03	0.00
NSP4	2020-03-04	0.00
E	2020-03-04	0.00
NS7a	2020-03-04	0.00
NSP5	2020-03-04	0.00
NS7b	2020-03-04	0.00
NSP6	2020-03-04	0.00
NSP7	2020-03-04	0.00
NSP8	2020-03-04	0.00
Spike	2020-03-04	1.00
NSP9	2020-03-04	0.00
NSP10	2020-03-04	0.00
NSP11	2020-03-04	0.00
NSP12	2020-03-04	1.00
M	2020-03-04	1.00
NSP13	2020-03-04	0.00
N	2020-03-04	2.00
NSP14	2020-03-04	0.00
NS3	2020-03-04	0.00
NSP15	2020-03-04	0.00
NSP16	2020-03-04	0.00
NS9b	2020-03-04	0.00
NS6	2020-03-04	0.00
NS9c	2020-03-04	0.00
NSP1	2020-03-04	0.00
NSP2	2020-03-04	0.00
NS8	2020-03-04	0.00
NSP3	2020-03-04	0.00
NSP4	2020-03-05	0.00
E	2020-03-05	0.00
NS7a	2020-03-05	0.00
NSP5	2020-03-05	0.00
NS7b	2020-03-05	0.00
NSP6	2020-03-05	0.00
NSP7	2020-03-05	0.00
NSP8	2020-03-05	0.00
Spike	2020-03-05	1.00
NSP9	2020-03-05	0.00
NSP10	2020-03-05	0.00
NSP11	2020-03-05	0.00
NSP12	2020-03-05	1.00
M	2020-03-05	0.00
NSP13	2020-03-05	0.00
N	2020-03-05	0.00
NSP14	2020-03-05	0.00
NS3	2020-03-05	1.00
NSP15	2020-03-05	0.00
NSP16	2020-03-05	0.00
NS9b	2020-03-05	0.00
NS6	2020-03-05	0.00
NS9c	2020-03-05	0.00
NSP1	2020-03-05	0.00
NSP2	2020-03-05	0.00
NS8	2020-03-05	0.00
NSP3	2020-03-05	0.00
NSP4	2020-03-06	0.00
E	2020-03-06	0.00
NS7a	2020-03-06	0.00
NSP5	2020-03-06	0.00
NS7b	2020-03-06	0.00
NSP6	2020-03-06	0.00
NSP7	2020-03-06	0.00
NSP8	2020-03-06	0.00
Spike	2020-03-06	1.00
NSP9	2020-03-06	0.00
NSP10	2020-03-06	0.00
NSP11	2020-03-06	0.00
NSP12	2020-03-06	1.00
M	2020-03-06	0.00
NSP13	2020-03-06	0.00
N	2020-03-06	0.00
NSP14	2020-03-06	0.00
NS3	2020-03-06	1.00
NSP15	2020-03-06	0.00
NSP16	2020-03-06	0.00
NS9b	2020-03-06	0.00
NS6	2020-03-06	0.00
NS9c	2020-03-06	0.00
NSP1	2020-03-06	0.00
NSP2	2020-03-06	0.00
NS8	2020-03-06	0.00
NSP3	2020-03-06	0.00
NSP4	2020-03-07	0.00
E	2020-03-07	0.00
NS7a	2020-03-07	0.00
NSP5	2020-03-07	0.00
NS7b	2020-03-07	0.00
NSP6	2020-03-07	0.00
NSP7	2020-03-07	0.00
NSP8	2020-03-07	0.00
Spike	2020-03-07	1.00
NSP9	2020-03-07	0.00
NSP10	2020-03-07	0.00
NSP11	2020-03-07	0.00
NSP12	2020-03-07	1.00
M	2020-03-07	0.00
NSP13	2020-03-07	0.00
N	2020-03-07	0.00
NSP14	2020-03-07	0.00
NS3	2020-03-07	1.00
NSP15	2020-03-07	0.00
NSP16	2020-03-07	0.00
NS9b	2020-03-07	0.00
NS6	2020-03-07	0.00
NS9c	2020-03-07	0.00
NSP1	2020-03-07	0.00
NSP2	2020-03-07	1.00
NS8	2020-03-07	0.00
NSP3	2020-03-07	0.00
NSP4	2020-03-08	0.00
E	2020-03-08	0.00
NS7a	2020-03-08	0.00
NSP5	2020-03-08	0.00
NS7b	2020-03-08	0.00
NSP6	2020-03-08	0.00
NSP7	2020-03-08	0.00
NSP8	2020-03-08	0.00
Spike	2020-03-08	1.00
NSP9	2020-03-08	0.00
NSP10	2020-03-08	0.00
NSP11	2020-03-08	0.00
NSP12	2020-03-08	1.00
M	2020-03-08	0.00
NSP13	2020-03-08	0.00
N	2020-03-08	0.00
NSP14	2020-03-08	0.00
NS3	2020-03-08	1.00
NSP15	2020-03-08	0.00
NSP16	2020-03-08	0.00
NS9b	2020-03-08	0.00
NS6	2020-03-08	0.00
NS9c	2020-03-08	0.00
NSP1	2020-03-08	0.00
NSP2	2020-03-08	1.00
NS8	2020-03-08	0.00
NSP3	2020-03-08	0.00
NSP4	2020-03-09	0.00
E	2020-03-09	0.00
NS7a	2020-03-09	0.00
NSP5	2020-03-09	0.00
NS7b	2020-03-09	0.00
NSP6	2020-03-09	0.00
NSP7	2020-03-09	0.00
NSP8	2020-03-09	0.00
Spike	2020-03-09	1.00
NSP9	2020-03-09	0.00
NSP10	2020-03-09	0.00
NSP11	2020-03-09	0.00
NSP12	2020-03-09	1.00
M	2020-03-09	0.50
NSP13	2020-03-09	0.00
N	2020-03-09	0.50
NSP14	2020-03-09	0.00
NS3	2020-03-09	0.00
NSP15	2020-03-09	0.00
NSP16	2020-03-09	0.00
NS9b	2020-03-09	0.00
NS6	2020-03-09	0.00
NS9c	2020-03-09	0.00
NSP1	2020-03-09	0.00
NSP2	2020-03-09	0.00
NS8	2020-03-09	0.00
NSP3	2020-03-09	0.00
NSP4	2020-03-10	0.00
E	2020-03-10	0.00
NS7a	2020-03-10	0.00
NSP5	2020-03-10	0.00
NS7b	2020-03-10	0.00
NSP6	2020-03-10	0.00
NSP7	2020-03-10	0.00
NSP8	2020-03-10	0.00
Spike	2020-03-10	1.00
NSP9	2020-03-10	0.00
NSP10	2020-03-10	0.00
NSP11	2020-03-10	0.00
NSP12	2020-03-10	1.00
M	2020-03-10	1.00
NSP13	2020-03-10	0.00
N	2020-03-10	2.00
